127.0.0.1 - - [17/May/2019:11:15:55 -0300] "GET /casadocodigo/produtos/detalhe/1 HTTP/1.1" 200 8418
127.0.0.1 - - [17/May/2019:11:15:55 -0300] "GET /casadocodigo/resources/css/cssbase-min.css HTTP/1.1" 200 2044
127.0.0.1 - - [17/May/2019:11:15:55 -0300] "GET /casadocodigo/resources/css/fonts.css HTTP/1.1" 200 539
127.0.0.1 - - [17/May/2019:11:15:55 -0300] "GET /casadocodigo/resources/css/museo-500.woff HTTP/1.1" 404 1059
127.0.0.1 - - [17/May/2019:11:15:55 -0300] "GET /casadocodigo/resources/css/museo-700.woff HTTP/1.1" 404 1059
127.0.0.1 - - [17/May/2019:11:15:55 -0300] "GET /casadocodigo/resources/css/fontello.woff?3398089 HTTP/1.1" 404 1059
127.0.0.1 - - [17/May/2019:11:15:55 -0300] "GET /casadocodigo/resources/css/museo-500.ttf HTTP/1.1" 404 1059
127.0.0.1 - - [17/May/2019:11:15:55 -0300] "GET /casadocodigo/resources/css/museo-700.ttf HTTP/1.1" 404 1059
127.0.0.1 - - [17/May/2019:11:15:55 -0300] "GET /casadocodigo/resources/css/fontello.ttf?3398089 HTTP/1.1" 404 1059
127.0.0.1 - - [17/May/2019:11:15:56 -0300] "GET / HTTP/1.1" 200 11403
127.0.0.1 - - [17/May/2019:11:15:56 -0300] "GET /tomcat.css HTTP/1.1" 200 5931
127.0.0.1 - - [17/May/2019:11:15:56 -0300] "GET /favicon.ico HTTP/1.1" 200 8192
127.0.0.1 - - [17/May/2019:11:16:40 -0300] "GET /casadocodigo/ HTTP/1.1" 200 15052
127.0.0.1 - - [17/May/2019:11:16:40 -0300] "GET /casadocodigo/resources/css/book-collection.css HTTP/1.1" 200 1615
127.0.0.1 - - [17/May/2019:11:16:40 -0300] "GET /casadocodigo/resources/css/museo-500.woff HTTP/1.1" 404 1059
127.0.0.1 - - [17/May/2019:11:16:40 -0300] "GET /casadocodigo/resources/css/museo-700.woff HTTP/1.1" 404 1059
127.0.0.1 - - [17/May/2019:11:16:40 -0300] "GET /casadocodigo/resources/css/museo-500.ttf HTTP/1.1" 404 1059
127.0.0.1 - - [17/May/2019:11:16:40 -0300] "GET /casadocodigo/resources/css/museo-700.ttf HTTP/1.1" 404 1059
127.0.0.1 - - [17/May/2019:11:17:18 -0300] "GET /casadocodigo/ HTTP/1.1" 200 15052
